Semente,Eixo Menor,Eixo Maior,Razao,Area,Perimetro
1.0,6.931631289932639,24.60212748949853,3.5492550686055906,104.5,52.72792184352875
2.0,7.034742819536261,26.04039472432609,3.701683969456428,115.0,56.14213538169861
3.0,7.786961366842946,23.932267611498236,3.073376954636293,116.5,53.55634891986847
4.0,6.701387657676214,22.782878507131624,3.399725500290168,94.5,49.21320307254791
5.0,6.936058717684266,25.594126893309127,3.69001012463375,114.0,55.11269783973694
6.0,7.1556771566876085,26.34930624516845,3.682293886126865,118.0,56.97056245803833
7.0,7.451769317105845,25.95252952758185,3.482733888179649,122.5,55.55634891986847
8.0,7.061722974127152,23.73447762247328,3.361003781857773,106.5,50.5269113779068
9.0,7.610939230273888,30.882271292884923,4.057616328093266,152.0,65.79898953437805
10.0,6.956489994934559,25.6149984563962,3.6821728307016945,115.5,55.012192606925964
11.0,7.371602413942645,25.883140358695666,3.5111959252903153,121.0,57.455843687057495
12.0,8.232881138621323,28.038010503783177,3.4056134215583267,150.0,62.28427076339722
13.0,6.993483900488401,22.40813651983531,3.204145006792738,98.5,49.21320307254791
14.0,7.241120963473716,23.19448398202343,3.203162065517623,103.0,51.11269783973694
15.0,8.152248689598538,25.097099920304707,3.0785493519507225,131.0,54.97056245803833
16.0,7.120891618632529,25.51970516160562,3.583779465879069,118.0,53.5979790687561
17.0,7.897474099912399,26.039785892125405,3.2972296664340113,127.5,59.69848430156708
18.0,7.188698400667152,24.463466153244827,3.4030452788191083,110.0,53.455843687057495
19.0,8.278327846465848,23.868257824678626,2.8832221032256378,122.0,52.97056245803833
20.0,7.419715222459641,27.060955353001454,3.647169000649425,129.5,58.38477599620819
21.0,7.971472103979394,26.823191309823045,3.364898096605367,138.0,59.94112491607666
22.0,7.29118553673212,26.040949960100868,3.5715659447849295,119.5,56.870057225227356
23.0,8.002601313490723,21.52706733898783,2.6900087228758562,104.0,49.11269783973694
24.0,8.022150241448093,28.469199600828215,3.548824036445519,146.0,61.79898953437805
25.0,6.996765932605366,28.446335936125212,4.06564064170898,130.5,59.840619683265686
26.0,6.856517376861511,30.54300339751757,4.4545943251876166,136.0,62.08326029777527
27.0,7.465532406152337,26.511523837094067,3.5511899747760722,126.5,57.21320307254791
28.0,7.8897248900796235,24.40630531913661,3.0934291954621376,121.5,53.55634891986847
29.0,6.954327027427735,20.546057818850866,2.9544279033496124,89.0,45.455843687057495
30.0,7.886144476255727,25.94179179862111,3.2895405196707794,131.5,57.69848430156708
31.0,6.909352090699965,23.932711798963215,3.463814187610559,100.0,51.11269783973694
32.0,7.698429073314313,27.440778046202382,3.5644646180248083,136.0,60.28427076339722
33.0,7.4538219022799055,23.04821366991727,3.0921336694223265,108.5,51.21320307254791
34.0,7.754923817418945,26.24897701746183,3.3848142980466083,130.5,57.35533845424652
35.0,7.504096274188354,23.08862132874408,3.0768023870058028,109.0,50.14213538169861
36.0,7.1817690611311225,21.872473659007184,3.045555137296811,98.5,48.5269113779068
37.0,8.184823743818825,20.277834452514327,2.4774918907481833,104.5,48.041630148887634
38.0,7.4962228941604705,25.147303309718446,3.354663230372739,121.0,54.62741661071777
39.0,7.474500366040611,27.02480822862887,3.6156006294965826,128.0,56.485281229019165
40.0,7.197250504504171,19.593135103910903,2.722308344228002,86.0,47.79898953437805
41.0,7.37791418026532,23.77723239054227,3.222758060014085,111.0,52.62741661071777
42.0,7.1195779817332845,27.00390030318289,3.792907440927938,122.5,57.55634891986847
43.0,0.0,0.0,,0.0,0.0
44.0,7.509908400472543,19.454630640737754,2.5905283531172785,93.5,43.69848430156708
45.0,7.025686738866978,23.146124639932893,3.294499954272888,102.0,51.455843687057495
46.0,7.4652697526863605,24.327803566848768,3.2587976553820392,114.5,54.041630148887634
47.0,7.617529944364537,25.653135253805406,3.3676448194054878,128.5,55.35533845424652
48.0,6.586837277334853,25.239483818650335,3.8318061849650946,104.5,54.5269113779068
