Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;8.02679601;24.50375516;3.052744224;127.5;54.52691138
2;7.763832755;27.20464885;3.504023039;136.5;60.04163015
3;8.629289074;26.29347518;3.047003636;149;58.62741661
4;7.104654428;22.38143588;3.150249756;103;48.28427076
5;8.145253328;27.21212908;3.340857306;143;61.11269784
6;8.093642798;24.57862411;3.036781425;131.5;54.52691138
7;7.834264627;23.75501585;3.032194722;123;51.94112492
8;8.176340207;24.38906855;2.982883287;130.5;54.52691138
9;7.911482268;25.97334653;3.28299371;134;57.11269784
10;8.628677269;24.0057572;2.782090053;136.5;54.04163015
11;8.277377662;24.55142139;2.966086893;131.5;54.384776
12;8.352319151;23.79285159;2.848652112;129.5;53.21320307
13;8.358642774;24.36132636;2.914507417;134;55.11269784
14;7.506222951;24.06647861;3.206203541;118;51.94112492
15;8.273377938;26.45116554;3.197142176;142.5;58.384776
16;8.418809766;26.65596789;3.166239484;145;60.28427076
17;7.878423964;25.45889408;3.231470431;130.5;55.21320307
18;7.754480299;24.33067372;3.137627899;120;53.94112492
19;8.687784862;25.13696113;2.893368279;146;54.76955199
20;8.235599035;25.00851835;3.036636223;134;55.94112492
21;8.570234122;26.18827653;3.055724751;142.5;58.384776
22;9.103520457;25.76422413;2.830138544;151.5;57.55634892
23;7.197811758;26.25367007;3.647451608;118.5;56.384776
24;7.564309973;21.76981326;2.877964194;105;47.31370831
25;8.204536747;22.14066942;2.698588611;118;50.62741661
26;8.175574702;22.69927753;2.776474849;120;50.97056246
27;8.137254601;21.77902896;2.67645908;114;49.11269784
28;7.733090585;23.79937108;3.077601487;118;52.28427076
29;9.152095212;24.79005825;2.708675737;148;56.62741661
30;8.016082387;25.49055921;3.179927298;135;55.94112492
31;7.874792184;23.8573309;3.029582285;122.5;53.35533845
32;8.148332426;26.2310294;3.219189895;139;58.76955199
33;8.456690607;24.82194108;2.935183777;136;55.94112492
34;8.165335098;23.45269414;2.87222678;123;53.45584369
35;7.957857858;26.45213275;3.324026795;136.5;58.52691138
36;7.835326529;22.71703195;2.899308901;112.5;51.21320307
37;8.124369256;21.52715303;2.649701454;109.5;49.6984843
38;7.986492664;21.99363621;2.75385418;110;49.79898953
39;8.916097816;25.03464585;2.807802961;144.5;57.21320307
40;7.655440859;24.72894349;3.230244207;120;54.62741661
41;8.625875203;25.34876031;2.938688506;143.5;58.52691138
42;8.284589173;25.26327537;3.049430073;134.5;56.87005723
43;8.320237607;25.63178734;3.080655691;139.5;57.6984843
44;8.464912642;23.9032422;2.823802585;131;53.94112492
45;8.124700527;24.45889434;3.010436417;131.5;54.18376553
46;6.960189318;22.88370384;3.287799051;99.5;49.55634892
47;8.992505171;22.42738899;2.494009018;131.5;51.6984843
48;8.357485559;24.97730214;2.988614454;132;57.45584369
49;8.635040096;23.15150819;2.681111834;129.5;52.384776
50;6.409766574;24.90680556;3.885758595;95.5;53.35533845
51;8.440674189;25.6722218;3.041489486;136;56.14213538
52;8.300200819;23.93297755;2.883421506;129;53.11269784
53;8.147211537;24.89261936;3.055354491;132.5;56.52691138
54;8.173532274;24.29754379;2.972710326;130.5;54.52691138
55;8.653627554;23.89564477;2.76134426;135;54.28427076
56;8.942714778;25.87682323;2.893620547;149;57.79898953
57;8.503921488;26.07743656;3.066518969;145.5;59.6984843
58;7.426542222;25.85915148;3.481990771;124;56.62741661
59;7.794346912;23.00310022;2.951254349;112.5;52.04163015
60;8.691907397;25.00387449;2.876684408;140;56.28427076
61;7.256318703;22.05652919;3.039630712;103;49.94112492
62;8.620970247;25.46919487;2.954330445;144;57.11269784
63;8.181303395;27.42492726;3.352146466;146.5;59.01219261
64;8.087717841;25.75080433;3.183939504;135.5;56.87005723
65;8.56531205;23.5670221;2.751449329;129;53.79898953
66;8.131085715;22.24840596;2.736215892;117;49.79898953
68;8.579853635;24.19190057;2.819616931;131.5;55.21320307
69;9.088341119;26.00435093;2.86128685;153.5;59.21320307
70;8.18463682;21.31522199;2.604296618;113.5;48.04163015
71;8.488438574;24.18981182;2.849736334;134.5;54.87005723
72;8.709087873;25.54714385;2.933389148;147;57.59797907
73;8.116228015;22.46691541;2.768147392;108.5;50.04163015
74;7.791914463;24.55324774;3.151118747;121.5;54.87005723
75;7.797439972;24.82457164;3.183682302;128.5;54.18376553
76;8.281347356;25.23974342;3.047782243;138;55.94112492
77;8.713676666;27.51918309;3.158159769;155.5;62.52691138
78;8.284839019;26.51949807;3.200967214;142;59.94112492
79;7.924823959;24.63983496;3.109196505;125;55.79898953
80;8.110185502;22.20850162;2.738346936;119;49.11269784
81;8.684557379;27.17947935;3.129633229;157.5;59.01219261
82;8.523294658;25.84976636;3.032837347;142;58.62741661
83;7.604855101;25.89641005;3.405247004;128;55.59797907
84;8.561441179;24.43301377;2.85384356;135.5;56.04163015
85;9.616796658;26.61374518;2.767423096;146;59.11269784
86;7.898459782;25.40957922;3.217029639;128;56.62741661
87;8.652514418;26.06442216;3.012352352;148;59.11269784
88;7.370552807;21.13308244;2.867231671;100;47.11269784
89;7.966845826;24.35492263;3.057034511;125;53.79898953
90;7.863884735;26.16530197;3.32727435;131;58.28427076
91;8.452713493;26.2552575;3.106133613;148.5;56.18376553
92;8.606333682;25.92165899;3.011928185;145;57.94112492
93;8.395884956;26.86056845;3.199253991;147.5;60.18376553
94;8.002535097;24.85952937;3.106456775;131;54.76955199
95;8.038537323;25.60194269;3.184900643;131.5;56.384776
96;8.779668893;26.54518456;3.02348356;152;61.11269784
97;7.580406209;23.48204798;3.097729506;110;52.97056246
98;8.198946991;23.30186009;2.84205522;123.5;52.384776
99;6.905212913;25.79668001;3.73582688;112.5;55.55634892
100;8.147282774;22.45548879;2.756193618;116;52.28427076
101;7.976711348;23.25390482;2.915224559;118;52.28427076
102;8.869772015;23.7845016;2.681523444;140;54.28427076
103;8.646613109;23.50820864;2.718776514;131.5;53.6984843
104;7.663620595;25.92129173;3.382381918;124;55.31370831
105;8.341523049;24.52205291;2.939757256;134.5;53.35533845
106;8.135276228;24.55928489;3.01886306;127.5;53.55634892
107;8.038679193;24.71167807;3.074096811;126.5;54.384776
108;8.649590421;25.83279381;2.986591567;143;57.79898953
109;9.506834376;21.85483902;2.298855555;136.5;50.72792184
110;8.539317119;25.50325755;2.986568738;141.5;57.6984843
